epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6023,2.21528,3.71736,2.40401,0.00333,1,0.01774,0.00276,2.37935,4.81575,3.10264,0.0001,0.0001,0.0001
2,42.3607,1.54143,3.18627,1.62526,0.00333,1,0.65317,0.33402,1.14398,3.42695,1.27018,0.000215644,0.000215644,0.000215644
3,62.6885,1.27171,2.47313,1.32969,0.00333,1,0.96167,0.53167,1.21142,3.34745,1.42897,0.000326536,0.000326536,0.000326536
4,83.0905,1.24719,2.1484,1.34377,0.00333,1,0.82036,0.44694,1.19538,3.28773,1.36816,0.000432676,0.000432676,0.000432676
5,103.69,1.18986,1.83532,1.28349,0.19189,1,0.78139,0.5516,0.94269,3.11289,1.21556,0.000534064,0.000534064,0.000534064
6,124.284,1.28133,1.66201,1.28481,1,0.47368,0.8875,0.61689,1.10278,2.87322,1.3544,0.0006307,0.0006307,0.0006307
7,144.413,1.2663,1.54482,1.30015,0.67571,0.41899,0.63345,0.37417,1.21582,3.10069,1.52714,0.000722584,0.000722584,0.000722584
8,164.258,1.23006,1.53543,1.25404,0.002,0.6,0.00804,0.00184,3.61385,8.29501,3.4062,0.000809716,0.000809716,0.000809716
9,184.154,1.18275,1.38612,1.22345,0.00133,0.4,0.00184,0.00054,4.19622,7.78569,4.13894,0.000892096,0.000892096,0.000892096
10,205.261,1.31068,1.66527,1.35617,0.16859,0.2,0.15569,0.03555,2.82056,6.08591,2.67323,0.000969724,0.000969724,0.000969724
11,225.118,1.22269,1.5808,1.27023,0.49168,0.4,0.41346,0.19355,2.01593,4.04995,2.09282,0.0010426,0.0010426,0.0010426
12,244.862,1.27808,1.48303,1.25266,0.94673,0.9,0.91722,0.61473,1.20918,2.45632,1.53288,0.00111072,0.00111072,0.00111072
13,264.416,1.19139,1.32995,1.20919,0.96461,0.9,0.93848,0.72034,0.97432,2.32557,1.18691,0.0011741,0.0011741,0.0011741
14,283.119,1.2238,1.3584,1.27178,1,0.89226,0.94045,0.64454,1.36358,2.13503,1.51622,0.00123272,0.00123272,0.00123272
15,301.757,1.10465,1.31839,1.21212,0.9852,0.9,0.97833,0.62579,1.29165,1.97561,1.49144,0.00128658,0.00128658,0.00128658
16,320.036,1.12956,1.3167,1.19917,1,0.86274,0.93071,0.68941,1.10486,2.18854,1.35046,0.0013357,0.0013357,0.0013357
17,338.585,1.11454,1.24851,1.20036,0.89789,0.88099,0.93643,0.53809,1.29792,2.41106,1.48299,0.0013664,0.0013664,0.0013664
18,356.991,1.17324,1.27917,1.20137,0.98722,0.9,0.96643,0.62296,1.35303,2.07269,1.57512,0.0013268,0.0013268,0.0013268
19,377.225,1.17784,1.21958,1.2307,0.97539,0.9,0.97833,0.59138,1.41176,1.91195,1.55802,0.0012872,0.0012872,0.0012872
20,396.009,1.0941,1.16697,1.16488,1,0.97134,0.995,0.65029,1.08932,1.85489,1.29567,0.0012476,0.0012476,0.0012476
21,414.715,1.24071,1.21594,1.261,0.90602,0.9662,0.97682,0.67251,1.02205,1.98876,1.26265,0.001208,0.001208,0.001208
22,434.336,1.19587,1.08923,1.19431,0.97807,0.9,0.97833,0.64701,1.19088,1.93826,1.27451,0.0011684,0.0011684,0.0011684
23,454.251,1.14518,1.07758,1.1658,0.98349,0.9,0.97833,0.58638,1.32387,1.85386,1.35059,0.0011288,0.0011288,0.0011288
24,474.167,1.18285,1.12417,1.23269,0.98334,0.9,0.96643,0.69013,1.12329,1.56699,1.32935,0.0010892,0.0010892,0.0010892
25,493.073,1.11207,1.15345,1.22107,1,0.99231,0.995,0.73561,1.10562,1.35821,1.34763,0.0010496,0.0010496,0.0010496
26,512.936,1.11175,1.01697,1.17631,1,0.99036,0.995,0.66186,1.24643,1.41364,1.42829,0.00101,0.00101,0.00101
27,532.351,1.07824,0.98784,1.12774,0.99215,0.9,0.98591,0.66152,1.19886,1.26813,1.35194,0.0009704,0.0009704,0.0009704
28,552.179,1.05176,0.93385,1.10876,1,0.99872,0.995,0.72893,1.16387,1.17966,1.37768,0.0009308,0.0009308,0.0009308
29,571.913,1.01435,0.9572,1.13291,0.99736,1,0.995,0.73296,1.15855,1.12662,1.35509,0.0008912,0.0008912,0.0008912
30,591.733,0.94477,0.91012,1.11972,0.99591,1,0.995,0.62856,1.31797,1.23988,1.47822,0.0008516,0.0008516,0.0008516
31,612.18,0.94996,0.85321,1.07777,0.99586,1,0.995,0.59709,1.34106,1.25761,1.48934,0.000812,0.000812,0.000812
32,631.16,1.0034,0.88897,1.11426,0.99676,1,0.995,0.71617,1.12917,1.08693,1.22364,0.0007724,0.0007724,0.0007724
33,649.736,0.98984,0.93951,1.13975,0.99778,1,0.995,0.71072,1.09914,1.11306,1.174,0.0007328,0.0007328,0.0007328
34,668.538,0.93202,0.87517,1.06197,0.99322,0.9,0.97833,0.65326,1.19503,1.2319,1.26302,0.0006932,0.0006932,0.0006932
35,687.016,1.0011,0.88864,1.09336,0.99339,0.9,0.92064,0.62811,1.11322,1.16469,1.25039,0.0006536,0.0006536,0.0006536
36,705.752,0.88964,0.86057,1.06298,1,0.99291,0.995,0.75185,0.95053,0.95646,1.13423,0.000614,0.000614,0.000614
37,725.332,1.00395,0.84957,1.11922,1,0.99532,0.995,0.71876,0.95571,0.9507,1.1482,0.0005744,0.0005744,0.0005744
38,744.111,0.96123,0.84069,1.0845,0.90274,1,0.98591,0.7007,1.05578,0.97425,1.29243,0.0005348,0.0005348,0.0005348
39,762.27,0.93067,0.78512,1.11142,0.90434,1,0.98591,0.6857,1.12029,0.99841,1.36154,0.0004952,0.0004952,0.0004952
